femb#,chip#,chipchn#,chn_in_data#,FNL lot#,FNL ch#,CHN,32-pin CON,32-pin CON pin#,8-pin CON,8-pin CON pin#,SiPM#,HV,Ext_1pF_Cali
0,0,0,0,,,0,P10,32,,,OPEN,,
0,0,1,1,1425,1,1,P10,30,P1,2,A1,HV1(P15),P14
0,0,2,2,1425,2,2,P10,28,P1,4,A3,HV1(P15),
0,0,3,3,1425,3,3,P10,26,P1,6,A5,HV1(P15),
0,0,4,4,1425,4,4,P10,24,P1,7,A6,HV1(P15),
0,0,5,5,1425,5,5,P10,22,P1,5,A4,HV1(P15),
0,0,6,6,1425,6,6,P10,20,P1,3,A2,HV1(P15),
0,0,7,7,1426,1,7,P10,18,P2,2,A1,HV1(P15),
0,0,8,8,1426,2,8,P10,16,P2,4,A3,HV1(P15),
0,0,9,9,1426,3,9,P10,14,P2,6,A5,HV1(P15),
0,0,10,10,1426,4,10,P10,12,P2,7,A6,HV1(P15),
0,0,11,11,1426,5,11,P10,10,P2,5,A4,HV1(P15),
0,0,12,12,1426,6,12,P10,8,P2,3,A2,HV1(P15),
0,0,13,13,1429,1,13,P10,6,P3,2,A1,HV1(P15),
0,0,14,14,1429,2,14,P10,4,P3,4,A3,HV1(P15),
0,0,15,15,1429,3,15,P10,2,P3,6,A5,HV1(P15),
0,1,0,16,,,16,P11,32,,,OPEN,,
0,1,1,17,1429,4,17,P11,30,P3,7,A6,HV1(P15),
0,1,2,18,1429,5,18,P11,28,P3,5,A4,HV1(P15),
0,1,3,19,1429,6,19,P11,26,P3,3,A2,HV1(P15),
0,1,4,20,1431,1,20,P11,24,P4,2,A1,HV2(P16),
0,1,5,21,1431,2,21,P11,22,P4,4,A3,HV2(P16),
0,1,6,22,1431,3,22,P11,20,P4,6,A5,HV2(P16),
0,1,7,23,1431,4,23,P11,18,P4,7,A6,HV2(P16),
0,1,8,24,1431,5,24,P11,16,P4,5,A4,HV2(P16),
0,1,9,25,1431,6,25,P11,14,P4,3,A2,HV2(P16),
0,1,10,26,1432,1,26,P11,12,P5,2,A1,HV2(P16),
0,1,11,27,1432,2,27,P11,10,P5,4,A3,HV2(P16),
0,1,12,28,1432,3,28,P11,8,P5,6,A5,HV2(P16),
0,1,13,29,1432,4,29,P11,6,P5,7,A6,HV2(P16),
0,1,14,30,1432,5,30,P11,4,P5,5,A4,HV2(P16),
0,1,15,31,1432,6,31,P11,2,P5,3,A2,HV2(P16),
1,0,0,0,,,32,P13,32,,,OPEN,,
1,0,1,1,1435,1,33,P13,30,P8,2,A1,HV3(P18),
1,0,2,2,1435,2,34,P13,28,P8,4,A3,HV3(P18),
1,0,3,3,1435,3,35,P13,26,P8,6,A5,HV3(P18),
1,0,4,4,1435,4,36,P13,24,P8,7,A6,HV3(P18),
1,0,5,5,1435,5,37,P13,22,P8,5,A4,HV3(P18),
1,0,6,6,1435,6,38,P13,20,P8,3,A2,HV3(P18),
1,0,7,7,,,39,P13,18,,,OPEN,,
1,0,8,8,,,40,P13,16,,,OPEN,,
1,0,9,9,1436,1,41,P13,14,P9,2,A1,HV3(P18),
1,0,10,10,1436,2,42,P13,12,P9,4,A3,HV3(P18),
1,0,11,11,1436,3,43,P13,10,P9,6,A5,HV3(P18),
1,0,12,12,1436,4,44,P13,8,P9,7,A6,HV3(P18),
1,0,13,13,1436,5,45,P13,6,P9,5,A4,HV3(P18),
1,0,14,14,1436,6,46,P13,4,P9,3,A2,HV3(P18),
1,0,15,15,,,47,P13,2,,,OPEN,,
1,1,0,16,,,48,P14,32,,,OPEN,,
1,1,1,17,1437,1,49,P14,30,P6,2,A1,HV2(P16),P16
1,1,2,18,1437,2,50,P14,28,P6,4,A3,HV2(P16),
1,1,3,19,1437,3,51,P14,26,P6,6,A5,HV2(P16),
1,1,4,20,1437,4,52,P14,24,P6,7,A6,HV2(P16),
1,1,5,21,1437,5,53,P14,22,P6,5,A4,HV2(P16),
1,1,6,22,1437,6,54,P14,20,P6,3,A2,HV2(P16),
1,1,7,23,,,55,P14,18,,,OPEN,,
1,1,8,24,,,56,P14,16,,,OPEN,,
1,1,9,25,1438,1,57,P14,14,P7,2,A1,HV3(P18),
1,1,10,26,1438,2,58,P14,12,P7,4,A3,HV3(P18),
1,1,11,27,1438,3,59,P14,10,P7,6,A5,HV3(P18),
1,1,12,28,1438,4,60,P14,8,P7,7,A6,HV3(P18),
1,1,13,29,1438,5,61,P14,6,P7,5,A4,HV3(P18),
1,1,14,30,1438,6,62,P14,4,P7,3,A2,HV3(P18),
1,1,15,31,,,63,P14,2,,,OPEN,,
